Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=667.375 admission_calls=162 admission_ms=645.135 assert_traps=76 full_calls=86 full_ns=645133176 reuse_calls=76 reuse_ns=2224 admission_ns=645135400 leave fn=604 pc=155868 name=$shadow_41_cwd
[shadow-progress] elapsed_ms=667.377 admission_calls=162 admission_ms=645.135 assert_traps=76 full_calls=86 full_ns=645133176 reuse_calls=76 reuse_ns=2224 admission_ns=645135400 enter fn=605 pc=155892 name=$shadow_42_glob_match_impl
[shadow-progress] elapsed_ms=667.385 admission_calls=165 admission_ms=645.135 assert_traps=79 full_calls=86 full_ns=645133176 reuse_calls=79 reuse_ns=2304 admission_ns=645135480 leave fn=605 pc=155892 name=$shadow_42_glob_match_impl
[shadow-progress] elapsed_ms=667.387 admission_calls=165 admission_ms=645.135 assert_traps=79 full_calls=86 full_ns=645133176 reuse_calls=79 reuse_ns=2304 admission_ns=645135480 enter fn=606 pc=155996 name=$shadow_43_glob_match
[shadow-progress] elapsed_ms=667.408 admission_calls=169 admission_ms=645.136 assert_traps=83 full_calls=86 full_ns=645133176 reuse_calls=83 reuse_ns=2432 admission_ns=645135608 leave fn=606 pc=155996 name=$shadow_43_glob_match
[shadow-progress] elapsed_ms=667.409 admission_calls=169 admission_ms=645.136 assert_traps=83 full_calls=86 full_ns=645133176 reuse_calls=83 reuse_ns=2432 admission_ns=645135608 enter fn=607 pc=156062 name=$shadow_44_glob
[shadow-progress] elapsed_ms=743.011 admission_calls=186 admission_ms=712.652 assert_traps=91 full_calls=95 full_ns=712649067 reuse_calls=91 reuse_ns=2640 admission_ns=712651707 leave fn=607 pc=156062 name=$shadow_44_glob
[shadow-progress] elapsed_ms=743.015 admission_calls=186 admission_ms=712.652 assert_traps=91 full_calls=95 full_ns=712649067 reuse_calls=91 reuse_ns=2640 admission_ns=712651707 enter fn=608 pc=156278 name=$shadow_45_read
[shadow-progress] elapsed_ms=785.391 admission_calls=196 admission_ms=750.089 assert_traps=96 full_calls=100 full_ns=750086458 reuse_calls=96 reuse_ns=2768 admission_ns=750089226 leave fn=608 pc=156278 name=$shadow_45_read
[shadow-progress] elapsed_ms=785.394 admission_calls=196 admission_ms=750.089 assert_traps=96 full_calls=100 full_ns=750086458 reuse_calls=96 reuse_ns=2768 admission_ns=750089226 enter fn=609 pc=156405 name=$shadow_46_write
